Company/Brand,Founded,Headquarters,Industry,Industry Head,What it Does,Founder/s,Investor/s,Amount,Stage
Pocketly,2019,Bangalore,FinTech,FinTech,"Pocketly provides quick cash on hand, anytime - anywhere!","Aarav Bhatia, Navdeesh Ahuja",,,
Karbon Card,2019,Bangalore,FinTech,FinTech,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,"Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha",Y Combinator,,
OTO Capital,2018,Mumbai,FinTech,FinTech,The Future Of Vehicle Ownership!,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,"$6,000,000",
Skeps,2018,Gurgaon,FinTech,FinTech,"A blockchain products company, developing a proprietary product in the FinTech space","Mayank Tewari, Tushar Srivastava",Bertelsmann India,"$9,500,000",
Ruptok,2020,New Delhi,FinTech,FinTech,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,"$1,000,000",
Ruptok,2020,New Delhi,FinTech,FinTech,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Eclear Leasing,"$1,000,000",
Akudo,2020,Bangalore,FinTech,FinTech,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,"Lavika Aggarwal, Sajal Khanna, Jagveer Gandhi","Y Combinator, Incubate Fund India",,Pre-Seed
Smallcase,2015,Bangalore,FinTech,FinTech,Smallcase is a new way to invest in the stock markets.,"Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",Faering Capital,"$40,000,000",Series C
BharatPe,2018,New Delhi,FinTech,FinTech,The vision to make financial inclusion a reality for Indian merchants.,"Ashneer Grover, Shashvat Nakrani","IIFL Wealth, Asset Management, Northern Arc Capital","$20,000,000",Debt
YPay,2017,Noida,Fintech,Fintech,YPay Card is the new way to manage money.,Dr Navneet Gupta,We Founder Circle,"$400,000",
BharatPe,2018,New Delhi,FinTech,FinTech,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.","Ashneer Grover, Shashvat Nakrani",Tiger Global,"$370,000,000",Series E
GoSats,2020,Bangalore,FinTech,FinTech,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,"Mohammed Roshan, Roshni Aslam","Alphabit Fund, Fulgur Ventures, Stacks Accelerator, SBX Capital","$700,000",Seed
StockGro,2020,Bangalore,FinTech,FinTech,Making Investment Social- India's First Social Trading Platform,Ajay Lakhotia,"Roots Ventures, Velo Partners","$5,000,000",Pre-series A
RenewBuy,2015,Gurgaon,FinTech,FinTech,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",Balachander Sekhar,Evolvence Capital,"$10,000,000",Series C
CredAvenue,2017,Chennai,FinTech,FinTech,CredAvenue is an organization on a mission to deepen and power the $120Trillion global enterprise debt market which would unlock a GDP multiplier and thus create massive economic value.,Gaurav Kumar,"Sequoia Capital, Lightspeed, TVS Capital Funds","$90,000,000",Series A
Chqbook,2017,Gurgaon,FinTech,FinTech,"Chqbook.com is India’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.","Vipul Sharma, Rajat Kumar, Sachin Arora","Aavishkaar Capital, Rajiv Dadlani Group","$5,000,000",Pre-series B
Karbon Card,2019,Bangalore,FinTech,FinTech,"Empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.","Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha","Ramp, Rainfall Ventures, Roka Works, Y Combinator","$12,000,000",Pre-series A
CashBook,2020,Gurgaon,FinTech,FinTech,"CashBook is a digital record-keeping app using which businesses can add entries, segregate records, and find overall balance instantly.","Vivek, Ashutosh Pathak","JAM, Better Tomorrow Ventures","$2,300,000",Seed
HappyCredit,2020,Bangalore,FinTech,FinTech,"HappyCredit is on a mission to make online shopping delightful for 400mn bharat shoppers with credit, rewards, shopping inspiration and more.","Jitendra Kumar, Ashish Virmani","Kunal Shah, Krishna Kumar","$600,000",Pre-seed
Easiloan,2020,Mumbai,FinTech,FinTech,"A Fintech startup, offering fast & easy digital processing of Home Loans in a completely reimagined and delightful way.","Pramod Kathuria, Vishal Dawda",Tomorrow Capital,"$1,000,000",
Jar,2021,Bangalore,FinTech,FinTech,A daily gold-savings app that saves spare change & auto-invests.,"Nishchay AG, Misbah Ashraf","Tribe Capital, Arkam Ventures, WEH, Kunal Shah","$4,500,000",Pre-series A
Neokred,2019,Bangalore,FinTech,FinTech,Democratizing Open Banking,"Tarun Nazare, Rohith Reji","Virenxia Group, Rajesh Jain, Nitin Agarwal","$500,000",Seed
Progcap,2016,New Delhi,FinTech,FinTech,"Progcap (Desiderata Impact Ventures Private Limited) is a mission-driven, inclusive financing technology firm","Pallavi Shrivastava, Himanshu Chandra",Tiger Global,"$30,000,000",Series C
CredAvenue,2017,Chennai,FinTech,FinTech,CredAvenue is an organization on a mission to deepen and power the $120Trillion global enterprise debt market which would unlock a GDP multiplier and thus create massive economic value.,Gaurav Kumar,"Sequoia Capital, Lightspeed, TVS Capital Funds","$90,000,000",Series A
Chqbook,2017,Gurgaon,FinTech,FinTech,"Chqbook.com is India’s first neobank for small business owners offering world-class financial services through its five pillars of banking, khata, lending, insurance, and rewards.","Vipul Sharma, Rajat Kumar, Sachin Arora","Aavishkaar Capital, Rajiv Dadlani Group","$5,000,000",Pre-series B
Karbon Card,2019,Bangalore,FinTech,FinTech,"Empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits, no personal liability and no fixed deposit.","Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha","Ramp, Rainfall Ventures, Roka Works, Y Combinator","$12,000,000",Pre-series A
CashBook,2020,Gurgaon,FinTech,FinTech,"CashBook is a digital record-keeping app using which businesses can add entries, segregate records, and find overall balance instantly.","Vivek, Ashutosh Pathak","JAM, Better Tomorrow Ventures","$2,300,000",Seed
HappyCredit,2020,Bangalore,FinTech,FinTech,"HappyCredit is on a mission to make online shopping delightful for 400mn bharat shoppers with credit, rewards, shopping inspiration and more.","Jitendra Kumar, Ashish Virmani","Kunal Shah, Krishna Kumar","$600,000",Pre-seed
Easiloan,2020,Mumbai,FinTech,FinTech,"A Fintech startup, offering fast & easy digital processing of Home Loans in a completely reimagined and delightful way.","Pramod Kathuria, Vishal Dawda",Tomorrow Capital,"$1,000,000",
Jar,2021,Bangalore,FinTech,FinTech,A daily gold-savings app that saves spare change & auto-invests.,"Nishchay AG, Misbah Ashraf","Tribe Capital, Arkam Ventures, WEH, Kunal Shah","$4,500,000",Pre-series A
Neokred,2019,Bangalore,FinTech,FinTech,Democratizing Open Banking,"Tarun Nazare, Rohith Reji","Virenxia Group, Rajesh Jain, Nitin Agarwal","$500,000",Seed
Unnati,2019,Noida,FinTech,FinTech,Fintech powered digital agri ecosystem,"Amit Sinha, Ashok Prasad","Incofin, NabVentures, Orios","$7,000,000",Series A
Juspay,2012,Bangalore,FinTech,FinTech,Enable frictionless payments for the billion Indians.,"Vimal Kumar, Ramanathan RV",SoftBank Vision Fund 2,"$60,000,000",Series C
Aquaconnect,2017,Chennai,Fishery,AgTech,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,Rajamanohar,"Rebright Partners, Flourish Ventures","$4,000,000",Pre-series A
MYFITNESS,2019,Silvassa,Fitness,Health,"A new age D2C health & fitness brand with a mission to deliver products that taste good, feel good and do good.","Mohammad Patel, Rahil Virani",9Unicorns,"$1,000,000",Seed
Insane AI,2021,Bangalore,Fitness,Health,Mainstream fitness formats are a primitive solution to the modern problems of a sedentary lifestyle.,"Anurag Mundhada, Jayesh Hannurkar, Sourabh Agrawal",pi Ventures,"$800,000",Seed
TagZ Foods,2019,Bangalore,Food,Food,TagZ Foods is a supplier of snacks and food products.,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,"$500,000",Pre-series A
Happy Jars,2016,New Delhi,Food & Beverages,Food,"Manufacture and retail a delicious range of all-natural nut butters, made without oil, sugar or preservatives.","Surabhi Talwar, Vikram Sekhar",Inflection Point Ventures,"$400,000",Seed
ZFW Hospitality,2015,New Delhi,Food & Beverages,Food,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO","$150,000",Pre-seed
TruNativ,2019,Mumbai,Food & Beverages,Food,TruNativ Foods & Beverages Pvt Ltd,"Pranav Malhotra, Mamta Malhotra",9Unicorns,,Seed
Rage Coffee,2018,New Delhi,Food & Beverages,Food,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,Bharat Sethi,"GetVantage, Prakash Katama",,Pre-series A
F5,2018,New Delhi,Food & Beverages,Food,F5 is a foods and beverages company.,"Lalit Aggarwal, Raghav Arora","Venture Catalysts, Jeevak Gupta","$300,000",Pre-series A
Kwik Foods,2020,Gurgaon,Food & Beverages,Food,Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry,"Prabhleen Kaur, Harshal Patel",9Unicorns,,Seed
Chai Waale,2018,Chennai,Food & Beverages,Food,"A wide range of exotic flavoured chai, in the most hygienic ambience at pocket-friendly prices.",Vidur Maheswari,"Sunil Sethia, Sunil Kumar Singhvi, Manish Mardia","$600,000",
The Whole Truth,2019,Mumbai,Food & Beverages,Food,"Believe simple, homely ingredients, minimally processed, are the secret to nutritious, tasty food",Shashank Mehta,Sequoia Capital,"$6,000,000",Series A
Keeros,2017,Lucknow,Food & Beverages,Food,"Keeros Roasted Supersnacks that are Healthy for All, Safe for Diabetics.","Sachin Sahni, Simran Sahni",Venture Catalysts,,Pre-series A
Otipy,2020,Gurgaon,Food & Beverages,Food,Otipy helps the farmer to deliver farm fresh vegetables & fruits at doorstep.,Varun Khurana,"Omidyar Network India, Innoven Capital","$10,200,000",Series A
SMOOR,2008,Bangalore,Food & Beverages,Food,Instigate your sixth sense with our new range of chocolates.,Vimal Sharma,Klub,,
UrbanKisaan,2017,Hyderabad,Food & Beverages,Food,A modern farms close to where your home is. Creating positive change at every step from seed to store ensuring quality and traceability.,"Srinivas Chaganti, Vihari Kanukollu, Sairam Reddy",BASF Venture Capital GmbH,,
FRAAZO,2020,Mumbai,Food & Beverages,Food,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Atul Kumar, Aashish Krishnatre","Sixth Sense Ventures, NABVENTURES","$11,000,000",Series A
Licious,2015,Bangalore,Food & Beverages,Food,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Abhay Hanjura, Vivek Gupta","Temasek, Multiples PE","$192,000,000",Series F
Rockclimber,2019,Bangalore,Food & Beverages,Food,RockClimber is a new age beverage brand with a portfolio of alcoholic and non alcoholic drinks.,"Deepak Poduval, Hariprasad Shetty",Anand Prakash Sharma,"$1,000,000",
Curefoods,2020,Bangalore,Food & Beverages,Food,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal","$13,000,000",
Curefoods,2020,Bangalore,Food & Beverages,Food,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal","$13,000,000",
Snack Amor,2014,Mumbai,Food & Beverages,Food,"Snack Amor aims is to offer a healthy, natural and tasty snacking experience to its customers.",Deepak Grover,"Sanchit Agarwal, Sujan Sinha, Michael Cooke",,
Rage Coffee,2018,New Delhi,Food & Beverages,Food,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",Bharat Sethi,Sixth Sense Ventures,"$5,000,000",
Blue Tokai Coffee Roasters,2012,New Delhi,Food & Beverages,Food,"Source, roast, and brew India's best single-origin Arabica coffee.","Matt Chitharanjan, Shivam Shahi, Namrata Asthana",Anicut Angel Fund,"$2,000,000",Pre-series B
Aquatein,2019,Mumbai,Food & Beverages,Food,India's First Protein Water in 21g and 10g Variants with BCAA.,"Ananth B Prabhala, Mitisha Mehta",Eaglewings Ventures,,Seed
Auntie Fung,2015,Bangalore,Food & Beverages,Food,Serving delectable and eclectic pan-Asian fare to all foodies in a quick-service & healthy format,"Satrajit Das, Subhradeep Bhowmik",India Angel Network,"$400,000",
Wow! Momo,2008,Kolkata,Food & Beverages,Food,WOW! Momo is one of the fastest-growing food brands in India.,"Binod Homagai, Sagar Daryani, Shah Miftaur Rahman",Tree Line Investment Management,"$15,000,000",Series C
WickedGud,2021,Mumbai,Food & Beverages,Food,A mission to make every day eating guilt-free and change the way the world consumes comfort foods.,Bhuman Dani,"Titan Capital, Archana Priyadarshini, Gaurav Ahuja","$340,000",Pre-seed
Goodmylk,2015,Bangalore,Food & Beverages,Food,Make plant-based food affordable and accessible in India.,Abhay Rangan,"Jinisha Sharma, Aditya Agarwal, Victoria, Abhishek Shroff","$1,000,000",Seed
Vahdam,2015,New Delhi,Food & Beverages,Food,VAHDAM is among the world’s first vertically integrated online-first tea brands.,Bala Sarda,IIFL AMC,"$20,000,000",Series D
Licious,2015,Bangalore,Food & Beverages,Food,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Vivek Gupta, Abhay",,"$52,000,000",Series G
Fraazo,2020,Mumbai,Food & Beverages,Food,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Atul Kumar, Aashish Krishnatre",WestBridge Capital,"$50,000,000",Series B
Yu Foodlabs,2020,Gurgaon,Food & Beverages,Food,Re-imagining Packaged Foods with Natural Ingredients & ZERO Preservatives,"Bharat Bhalla, Varun Kapur","Manish Choksi, Varun Vakil","$1,000,000",Pre-series A
Storia,2016,Mumbai,Food & Beverages,Food,"Storia Foods and Beverages is committed to creating products that are natural, full of goodness and promote a healthy lifestyle.",Vishal Shah,Sixth Sense Ventures,"$6,000,000",Series A
SupplyNote,2015,Noida,Food & Beverages,Food,"SupplyNote is Cloud based web and mobile enabled suite connecting outlets, service providers and suppliers.","Kushang, Abhishek Verma, Nitin Prakash, Harshit Mittal",Venture Catalysts,"$1,200,000",Pre-series A
Aquatein,2019,Mumbai,Food & Beverages,Food,India's First Protein Water in 21g and 10g Variants with BCAA.,"Ananth B Prabhala, Mitisha Mehta",Eaglewings Ventures,,Seed
Auntie Fung,2015,Bangalore,Food & Beverages,Food,Serving delectable and eclectic pan-Asian fare to all foodies in a quick-service & healthy format,"Satrajit Das, Subhradeep Bhowmik",India Angel Network,"$400,000",
Wow! Momo,2008,Kolkata,Food & Beverages,Food,WOW! Momo is one of the fastest-growing food brands in India.,"Binod Homagai, Sagar Daryani, Shah Miftaur Rahman",Tree Line Investment Management,"$15,000,000",Series C
WickedGud,2021,Mumbai,Food & Beverages,Food,A mission to make every day eating guilt-free and change the way the world consumes comfort foods.,Bhuman Dani,"Titan Capital, Archana Priyadarshini, Gaurav Ahuja","$340,000",Pre-seed
Goodmylk,2015,Bangalore,Food & Beverages,Food,Make plant-based food affordable and accessible in India.,Abhay Rangan,"Jinisha Sharma, Aditya Agarwal, Victoria, Abhishek Shroff","$1,000,000",Seed
Vahdam,2015,New Delhi,Food & Beverages,Food,VAHDAM is among the world’s first vertically integrated online-first tea brands.,Bala Sarda,IIFL AMC,"$20,000,000",Series D
Dogsee Chew,2015,Bangalore,Food & Beverages,Food,100% Natural Dog Treats.,"Bhupendra Khanal, Sneh Sharma",Sixth Sense Ventures,"$7,000,000",Pre-series A
Wingreens Farms,2011,Gurgaon,Food & Beverages,Food,"Wingreens Farms is a fully integrated (farm to retail) Food Company in the business of making and selling a range of fresh, healthy, tasty and innovative food products.","Anju C Srivastava, Arjun Srivastava","Investcorp, Omidyar Network","$17,000,000",
BOX8,2012,Mumbai,Food & Beverages,Food,India's Largest Desi Meals Brand,"Anshul Gupta, Amit Raj",Tiger Global,"$40,000,000",
Eggoz,2017,Gurgaon,Food & Beverages,Food,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,"Abhishek Negi, Uttam Kumar, Aditya Singh, Pankaj Pandey","Nabventures, Avaana Capital","$3,500,000",Series A
OWO Technologies,2020,Gurgaon,Food & Beverages,Food,An ecommerce startup offering online beverages and packaged drinking water,"Ajay Changani, Hardev Sahu",,"$3,000,000",Seed
The Gourmet Jar,2012,Noida,Food & Beverages,Food,"The Gourmet Jar offers a range of premium condiments in unique flavour combinations, that are handmade in small batches, from scratch, using all-natural ingredients and no preservatives or additives.",Apeksha Jain,DevX Venture Fund,"$150,000",
True Elements,2011,Pune,Food and Beverages,Food,"Committed to improving the quality of life, True Elements provides food that is packed with the goodness of nature!","Puru Gupta, Sreejith Moolayil",RP-Sanjiv Goenka Group,"$1,000,000",
Jumbotail,2015,Bangalore,Food and Beverages,Food,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, 23 High Networth Individuals (HNIs)","$14,300,000",Series B3
Swiggy,2014,Bangalore,Food delivery,Food,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Carmignac, Falcon Edge Capital","$800,000,000",
TenderCuts,2011,Chennai,Food Industry,Food,"TenderCuts is an online meat shop that delivers antibiotic-free, hygienic, and farm fresh chicken, free range goat, and seafood.",Nishanth Chandran,"Paragon Partners, NABVENTURES","$15,000,000",
Anveshan,2019,Bangalore,Food Production,Food,Revolutionizing the food industry through technology by providing high-quality traceable food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa","DSG Consumer Partners, Titan Capital","$500,000",Seed
Proeon,2018,Pune,Food Production,Food,"Innovating plant protein ingredients with superior nutrition, sensory and functional profiles from farm to formulation.","Ashish Korde, Kevin Parekh","Shaival Desai, Flowstate Ventures","$2,000,000",Seed
Anveshan,2019,Bangalore,Food Production,Food,Revolutionizing the food industry through technology by providing high-quality traceable food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa","DSG Consumer Partners, Titan Capital","$500,000",Seed
Proeon,2018,Pune,Food Production,Food,"Innovating plant protein ingredients with superior nutrition, sensory and functional profiles from farm to formulation.","Ashish Korde, Kevin Parekh","Shaival Desai, Flowstate Ventures","$2,000,000",Seed
Skippi Ice Pops,2021,Hyderabad,Food Production,Food,India's First Icepops Brand,Ravi Kabra,Shark Tank India,"$130,000",
CHUPPS,2016,Mumbai,Footwear,Fashion,D2C footwear brand,"Gaurav Agarwal, Yash Mukhi",Venture Catalysts,"$1,100,000",Pre-series A
SleepyCat,2017,Mumbai,Furniture,Consumer Goods,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,Kabir Siddiq,"Saama Capital, DSG Consumer Partners, Sharrp Ventures","$3,800,000",
Duroflex,1963,Bangalore,Furniture,Consumer Goods,"5 decades of experience, superior quality and best in class innovation help us in bringing you a wide range of mattresses, pillows, protectors and other sleep solutions.",P. C. Mathew,Norwest Venture Partners,"$60,000,000",
Wakefit,2014,Bangalore,Furniture,Consumer Goods,"A home solutions and sleep company, currently collaborating with the world's biggest sleep influencer.","Ankit Garg, Chaitanya Ramalingegowda",SIG,"$20,000,000",Series C
Boingg,2019,Gurgaon,Furniture,Consumer Goods,D2C furniture brand,"Neha Indoria, Dhruvan Barar",Inflection Point Ventures,"$200,000",Seed
Rentomojo,2014,Bangalore,Furniture Rental,Consumer Goods,"Furniture, appliances, electronics, and fitness products on monthly rental subscriptions.",Geetansh Bamania,"Accel, Bain Capital","$10,000,000",
MPL,2018,Bangalore,Gaming,Tech,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners","$5,000,000",
Turnip,2020,Bangalore,Gaming,Tech,Turnip is a live game streaming and community platform.,"Aditya Sharma, Pooja Dubey",Elevation Capital,"$1,600,000",Seed
Zupee,2018,Gurgaon,Gaming,Tech,Zupee is a skill-based gaming app that enables its users to play against each-other live,"Dilsher Singh Malhi, Siddhant Saurabh","Orios Venture Partners, Matrix Partners India","$10,000,000",
Oneiric Gaming,2020,Chandigarh,Gaming,Tech,Oneiric Gaming connects to fellow dreamers around the globe over cult favorite games like Bluff and Cricket.,Avneet Singh,Trishneet Arora,,
Nazara Technologies,2000,Mumbai,Gaming,Tech,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",Nitish Mittersain,"Plutus Wealth Management, Turtle Entertainment","$10,000,000",
MPL,2018,Bangalore,Gaming,Tech,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners","$95,000,000",
Dream Sports,2008,Mumbai,Gaming,Tech,"Dream Sports is India’s leading sports technology company with brands such as Dream11, FanCode, DreamX and DreamSetGo in its portfolio.","Bhavit Sheth, Harsh Jain","TCV, D1 Capital Partners, Falcon Edge.","$400,000,000",
Nazara Technologies,2000,Mumbai,Gaming,Tech,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.",Nitish Mittersain,"Hornbill Capital Advisers, Plutus Wealth Management","$30,000,000",
Chirrup,2020,Bangalore,Gaming,Tech,Video integrated social-gaming platform,"Vipul Garg, Sourav Lashkari, Mehul Mittal","Titan Capital, iSeed, First Cheque, 3.0 Fund.","$300,000",Pre-seed
NODWIN,2012,Gurgaon,Gaming,Tech,NODWIN Gaming is a gaming solutions company and creator of e-sports events.,Gautam Virk,Krafton,"$20,000,000",
IGL,2016,Mumbai,Gaming,Tech,Indian Gaming League is the premier eSports platform in India.,Yash Pariani,"Hungama, Hindustan Talkies","$500,000",
Jambox Games,2021,Bangalore,Gaming,Tech,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Ravi Vyas,,"$1,100,000",Seed
Loco,2018,Bangalore,Gaming,Tech,Loco is India's leading live game streaming app.,"Anirudh Pandita, Ashwin Suresh","Krafton, Lumikai","$9,000,000",Seed
Eloelo,2015,Bangalore,Gaming,Tech,Creator-led Social Gaming & Live Streaming Platform,"Saurabh Pandey, Akshay Dubey","Waterbridge, Lumikai","$2,000,000",Pre-series A
WinZO,2018,New Delhi,Gaming,Tech,WinZO is the largest social gaming and entertainment platform in India.,Paavan Nanda,Griffin Gaming Partners,"$65,000,000",Series C
SuperGaming,2017,Pune,Gaming,Tech,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures","$5,500,000",
SuperGaming,2017,Pune,Gaming,Tech,"At SuperGaming, building India's best gaming company.","Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures","$5,500,000",Series A
Zupee,2018,Gurgaon,Gaming,Tech,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications","Dilsher Singh, Siddhant Saurabh","WestCap Group, Tomales Bay Capital","$30,000,000",
Awon GameZ,2020,Noida,Gaming,Tech,"An online platform on which developers can host their games and gamers can come together as a community to enjoy experiences, compete, challenge and win!",Amardeep Bajpai,Aditya Duggar,"$2,000,000",Seed
Awon GameZ,2020,Noida,Gaming,Tech,"An online platform on which developers can host their games and gamers can come together as a community to enjoy experiences, compete, challenge and win!",Amardeep Bajpai,Aditya Duggar,"$2,000,000",Seed
MasterChow,2020,New Delhi,Food & Beverages,Food,A ready-to-cook Asian cuisine brand,"Vidur Kataria, Sidhanth Madan",WEH Ventures,"$461,000",Seed
MasterChow,2020,New Delhi,Food & Beverages,Food,A ready-to-cook Asian cuisine brand,"Vidur Kataria, Sidhanth Madan",WEH Ventures,"$461,000",Seed
Navia Life Care,2016,New Delhi,Healtcare,Health,Navia Life Care is a health technlogy company with a special focus on patient care.,"Nupur Khandelwal, Kunal Kishore Dhawan, Gaurav Gupta","Anicut Angel Fund, 9 Unicorns","$1,000,000",
Endimension,2018,Mumbai,Healtcare,Health,Endimension Technology is a healthcare Artificial Intelligence startup incubated at IIT Bombay.,"Bharadwaj Kss, Apparao MLV, Kurien Zacharia",Inflection Point Ventures,"$300,000",Seed
Endimension,2018,Mumbai,Healtcare,Health,Endimension Technology is a healthcare Artificial Intelligence startup incubated at IIT Bombay.,"Bharadwaj Kss, Apparao MLV, Kurien Zacharia",Inflection Point Ventures,"$300,000",Seed
Breathe Well-being,2015,Gurgaon,Health,Health,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.","Rohan Verma, Aditya Kaicker",Accel,"$5,500,000",Series A
Toothsi,2018,Mumbai,Health,Health,India’s first and largest at home smile makeover service using invisible aligners.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale","Eight Roads Ventures, Think Investments, Mankekar Family Office","$20,000,000",Series B
Sugar.fit,2021,Bangalore,Health,Health,"Innovative technology, compassionate diabetes experts and personalised plans, which will help lead a normal life once more.","Shivtosh Kumar, Madan Somasundaram","Cure.fit, Endiya Partners, Tanglin Venture","$10,000,000",
Sugar.fit,2021,Bangalore,Health,Health,"Innovative technology, compassionate diabetes experts and personalised plans, which will help lead a normal life once more.","Shivtosh Kumar, Madan Somasundaram","Cure.fit, Endiya Partners, Tanglin Venture","$10,000,000",
Quali55Care,2018,Mumbai,Health care,Health,Deliver highly durable & affordable medical equipments on rental and sale.,Harddik K Patel,India Accelerator’s Angel Investor Network,,Seed
MFine,2017,Bangalore,Health care,Health,Mfine is an health-tech startup that offers an AI-powered online doctor consultation app.,"Ajit Narayanan, Ashutosh Lawania, Prasad Kompalli","Blockchain Capital, SBI Ven Capital","$16,000,000",
Jeevam Health,2020,New Delhi,Health care,Health,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,"Kamran alam, Piyush vishwakarma",Y Combinator,"$1,500,000",Pre-seed
Fittr,2016,Pune,"Health, Wellness & Fitness",Health,"FITTR’s mission is to reach out to 50 million people and make them fit, create jobs in the fitness industry, teach people how easy it is to stay fit and move together as a Wolfpack.","Rohit Chattopadhyay, Jitendra Chouksey, Suniel Shetty, Sonal Singh, Bala Dabbedi","Dream Capital, Elysian Park Ventures","$11,000,000",Series A
Sanfe,2018,New Delhi,"Health, Wellness & Fitness",Health,India’s revolutionary feminine hygiene and period care brand that strives to build a better world for women.,"Archit Aggarwal, Harry Sehrawat","LetsVenture, Ajay Garg, Tarun Sharma","$1,000,000",Series A
Ayu Health,2019,Bangalore,"Health, Wellness & Fitness",Health,Ayu Health is a network of high quality hospitals focused on providing high quality healthcare for all.,"Himesh Joshi, Arijit Gupta, Karan Gupta","Vertex Ventures, Stellaris Venture Partners","$6,300,000",Series A
Nova Benefits,2020,Bangalore,"Health, Wellness & Fitness",Health,Nova Benefits is the one stop tech platform for providing the best health and wellness benefits to employees.,"Saransh Garg, Yash Gupta","Susquehanna International Group, Bessemer Venture Partners","$10,000,000",Series A
Biddano,2016,Pune,"Health, Wellness & Fitness",Health,India's first tech-enabled healthcare logistics platform.,"Talha Shaikh, Ashok Yadav","Gokul Rajaram, JPIN, Venture Catalysts UK, AngelList","$2,000,000",Pre-series A1
Twin Health,2018,Chennai,"Health, Wellness & Fitness",Health,Twin Health invented the Whole Body Digital Twin™ to help reverse and prevent chronic metabolic diseases.,Jahangir Mohammed,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors","$140,000,000",Series C
